,Userid,KeyboardType,InputType,Movement,TotalTime,LongestPause,Accuracy
151,p4,normal,symbol,still,12,2,50
152,p1,normal,alpha,moving,32,3,53
153,p4,normal,symbol,moving,7,3,21
154,p3,normal,symbol,moving,9,3,67
155,p1,zoom,alpha,moving,41,5,95
156,p4,normal,alpha,still,7,1,32
157,p3,normal,symbol,moving,31,1,9
158,p2,zoom,alpha,still,35,4,90
159,p4,zoom,symbol,still,16,4,100
160,p1,normal,symbol,moving,11,4,29
161,p3,normal,symbol,still,17,2,33
162,p4,zoom,alpha,moving,41,10,71
163,p2,zoom,symbol,moving,19,5,67
164,p4,zoom,alpha,moving,40,6,59
165,p3,normal,alpha,still,18,2,69
166,p1,normal,alpha,still,0,1,50
167,p3,zoom,symbol,moving,19,8,93
168,p1,normal,symbol,still,44,9,52
169,p4,normal,alpha,moving,23,3,23
170,p3,normal,alpha,moving,17,1,43
171,p2,zoom,alpha,still,21,2,73
172,p1,normal,symbol,still,17,5,75
173,p1,normal,alpha,still,15,2,36
174,p1,normal,alpha,moving,20,3,29
175,p2,normal,alpha,moving,27,2,52
176,p4,zoom,alpha,moving,23,3,63
177,p3,normal,symbol,moving,11,3,40
178,p1,normal,symbol,moving,18,4,38
179,p3,zoom,symbol,moving,25,5,71
180,p3,normal,alpha,moving,18,4,27
181,p1,zoom,symbol,moving,12,4,31
182,p4,zoom,symbol,moving,7,2,25
183,p2,zoom,alpha,still,20,2,100
184,p4,normal,symbol,moving,25,2,11
185,p3,normal,alpha,still,23,2,52
186,p3,normal,alpha,moving,11,2,39
187,p4,zoom,symbol,still,33,9,62
188,p4,zoom,symbol,moving,18,8,43
189,p3,normal,alpha,moving,10,3,21
190,p3,normal,symbol,moving,12,2,24
191,p2,normal,alpha,moving,12,2,45
192,p3,zoom,alpha,still,34,5,89
193,p4,normal,alpha,moving,17,2,19
194,p2,normal,alpha,still,10,1,37
195,p1,normal,symbol,still,11,3,40
196,p3,zoom,alpha,still,28,6,75
197,p2,zoom,alpha,moving,24,2,35
198,p1,zoom,alpha,moving,35,3,86
199,p1,normal,alpha,moving,12,1,43
